Model,Size,Train RMSE,Train MAE,Train R2,Time Elapsed,Valid RMSE,Valid MAE,Valid R2,Valid Elapsed,Test RMSE,Test MAE,Test R2,Test Elapsed
linreg,7432,109958.6,38663.8,0.98,0.0016,143922.3,51397.7,0.97,0,138415.1,52290.4,0.97,0
svc_regr,7579,888415.7,422135.8,-0.29,0.0015,881327,428619.1,-0.31,0,910742.5,446665,-0.31,0
rand_for_reg,24770494,67211.8,20448.7,0.99,0.1519,134162.6,39441.2,0.97,0.0616,138995.7,42581.3,0.97,0.0275
ada_boost_reg,36763,219145.3,160038.5,0.92,0.0286,221945,161057.6,0.92,0.0103,231910.7,165048.4,0.91,0.004
grd_boost_reg,120991,105024.1,39911.1,0.98,0.012,130199.3,46705.4,0.97,0.004,131216.3,48082.8,0.97,0.004
xgb_reg,218927,70285.5,24723.6,0.99,0.0087,129252.8,38749.2,0.97,0.0041,132213,40272,0.97,0.004
keras_conv1d,6487298,781090.3,594721.1,0,3.8083,776082.1,584514,0,1.1968,786705.2,597160.3,0,0.392
keras_conv1d_y_transform,6488956,248101.8,164969.5,0.9,4.1894,248354.3,165562.9,0.9,0.9288,245817.8,165041.1,0.9,0.3614
keras_bi_dir_LSTM_y_transform,10721678,173611.8,77624.4,0.95,13.6623,172175.1,77670.3,0.95,3.7964,156272.9,67821,0.96,1.637
keras_transformers_y_transform,1315385,143379.8,85192.1,0.97,1.9141,137506.8,83456.3,0.97,0.5218,135340.6,84909.9,0.97,0.2535
keras_distil_bert_y_transform,800626249,1.013578362,0.816169125,-0.01616647,286.7872,0.989573895,0.800300295,-0.022051519,87.5075,1.010017433,0.815672796,-0.010019585,38.823
